file,gt,angry_before,disgust_before,fear_before,happy_before,sadness_before,surprise_before,neutral_before,dominant_emotion_before,angry_after,disgust_after,fear_after,happy_after,sadness_after,surprise_after,neutral_after,dominant_emotion_after
angry\angry_0026.jpg,angry,0.5805,0.0,1.7211,0.0004,97.5725,0.0,0.1256,sad,88.0324,0.0,0.0038,0.0059,0.6671,0.0,11.2908,angry
angry\angry_0042.jpg,angry,39.6496,0.0,2.1402,0.0,3.822,0.0,54.3881,neutral,40.2087,0.0,0.134,0.0001,4.3069,0.0008,55.3495,neutral
angry\angry_0055.jpg,angry,48.519,0.0,51.3433,0.082,0.0549,0.0,0.0008,fear,4.5323,0.0367,0.0109,87.7026,7.689,0.0,0.0284,happy
angry\angry_0058.jpg,angry,0.0463,0.0,1.1123,0.14,0.1629,0.1235,98.415,neutral,99.7865,0.0,0.0254,0.0975,0.063,0.0003,0.0273,angry
angry\angry_0072.jpg,angry,0.0009,0.0,0.0026,0.0005,0.16,0.0,99.8359,neutral,99.9406,0.0,0.0501,0.0,0.0093,0.0,0.0,angry
angry\angry_0082.jpg,angry,99.9925,0.0,0.0,0.0,0.0075,0.0,0.0,angry,0.4696,0.0,0.0025,0.4801,0.1201,0.001,98.9267,neutral
angry\angry_0090.jpg,angry,99.2153,0.0,0.0072,0.0,0.0052,0.772,0.0004,angry,3.0162,0.0,0.0,1.3843,0.0,0.0,95.5995,neutral
angry\angry_0093.jpg,angry,94.9609,0.0017,2.7419,0.0001,1.2398,0.0022,1.0533,angry,47.133,0.0,1.0519,0.0,23.5755,0.0006,28.2389,angry
angry\angry_0107.jpg,angry,50.7646,0.0884,0.7562,0.0396,0.0567,48.2572,0.0373,angry,27.1031,0.0003,68.2016,0.0955,3.7224,0.8765,0.0007,fear
angry\angry_0120.jpg,angry,75.8912,0.2419,5.3181,15.7047,0.4765,1.229,1.1386,angry,0.1668,0.0007,0.2104,0.1645,4.408,0.0028,95.0468,neutral
angry\angry_0137.jpg,angry,41.3928,0.0,52.9253,0.0,5.6811,0.0,0.0007,fear,15.3783,0.0,0.1304,0.006,14.1377,0.0069,70.3407,neutral
