file,gt,angry_before,disgust_before,fear_before,happy_before,sadness_before,surprise_before,neutral_before,dominant_emotion_before,angry_after,disgust_after,fear_after,happy_after,sadness_after,surprise_after,neutral_after,dominant_emotion_after
angry\angry_0005.jpg,angry,1.3315,0.0651,0.6153,0.3123,55.3316,0.0566,42.2877,sad,23.7532,0.0636,28.9055,0.3145,13.2461,0.2799,33.4371,neutral
angry\angry_0151.jpg,angry,74.7064,0.0031,11.5797,4.5315,2.2717,0.0256,6.882,angry,44.4627,1.1082,38.1533,0.072,5.9489,8.8469,1.408,angry
angry\angry_0181.jpg,angry,1.5187,0.0004,96.3588,0.0002,0.3937,1.7141,0.0142,fear,10.3862,0.0,33.8773,0.0005,55.5842,0.0167,0.1351,sad
angry\angry_0301.jpg,angry,57.8987,0.0168,41.3989,0.0001,0.6703,0.0,0.0153,angry,30.8719,0.0,6.1624,0.0001,53.4593,0.1274,9.3789,sad
angry\angry_0343.jpg,angry,0.0472,0.0001,98.1762,0.0003,0.005,1.771,0.0001,fear,3.218,0.0,40.5946,0.2549,29.5104,25.7166,0.7055,fear
angry\angry_0350.jpg,angry,0.0187,0.0001,5.3907,0.0194,0.0001,94.571,0.0,surprise,0.0067,0.0,0.2763,51.8614,0.0737,0.0531,47.7288,happy
angry\angry_0364.jpg,angry,0.9744,0.0,8.9164,0.0204,9.2072,0.1998,80.6817,neutral,88.9079,0.0,0.0766,0.0135,10.7291,0.0389,0.234,angry
angry\angry_0582.jpg,angry,74.0431,0.1365,15.4092,0.0193,8.46,0.0999,1.832,angry,20.8791,0.2099,36.9274,0.0807,40.6225,0.353,0.9273,sad
angry\angry_0591.jpg,angry,0.0386,0.0,8.4368,0.0754,0.0775,91.3717,0.0,surprise,47.456,9.7474,31.1469,0.0388,4.8633,0.4394,6.3081,angry
angry\angry_0617.jpg,angry,0.0322,0.0001,37.7392,0.0,14.003,48.2129,0.0126,surprise,0.2998,0.0001,5.309,0.0048,25.086,68.6256,0.6748,surprise
angry\angry_0651.jpg,angry,0.058,0.0,1.5572,0.0001,0.2078,98.1688,0.0081,surprise,13.6252,1.9567,38.1766,0.0654,8.2957,20.1746,17.7058,fear
angry\angry_0661.jpg,angry,97.4312,0.0,1.8971,0.0,0.596,0.0,0.0756,angry,98.9932,0.0,0.0275,0.0,0.9789,0.0001,0.0004,angry
angry\angry_0699.jpg,angry,38.0964,0.0001,0.1251,0.0003,14.2156,0.0,47.5625,neutral,41.847,0.0,0.0246,0.0005,12.3259,0.0,45.8019,neutral
angry\angry_0736.jpg,angry,26.2983,0.0098,65.535,0.1294,6.7307,1.0431,0.2537,fear,0.001,0.0,53.1633,30.332,14.4188,0.0041,2.0807,fear
angry\angry_0781.jpg,angry,10.7211,0.0018,2.4892,0.0501,45.7705,0.0008,40.9666,sad,7.3967,0.0,0.0765,0.0008,7.0007,0.0,85.5252,neutral
angry\angry_0790.jpg,angry,47.5631,0.0006,22.1447,5.587,23.3188,0.0006,1.3852,angry,0.012,0.0,0.0025,0.0,0.0001,99.9855,0.0,surprise
angry\angry_0976.jpg,angry,63.3036,0.0005,0.1286,0.0002,29.0631,0.0,7.5041,angry,10.7218,0.0,0.3633,0.0009,16.4261,0.001,72.4869,neutral
angry\angry_1050.jpg,angry,2.2941,0.0006,49.4077,0.2739,45.9454,0.0139,2.0643,fear,8.1253,0.0,1.1715,0.6447,59.8682,0.0002,30.19,sad
angry\angry_1164.jpg,angry,0.0001,0.0,0.0011,0.0022,0.0243,0.0,99.9723,neutral,1.0569,0.0908,0.8815,0.1339,0.0006,97.7925,0.0438,surprise
angry\angry_1250.jpg,angry,8.6491,0.1469,63.4748,0.0082,23.655,0.0117,4.0543,fear,0.17,0.0,0.0471,98.0264,0.0245,0.0009,1.7311,happy
angry\angry_1293.jpg,angry,26.5122,0.0,0.1327,3.2232,4.7568,0.0,65.375,neutral,99.6696,0.0025,0.0568,0.0008,0.2331,0.0,0.0372,angry
angry\angry_1347.jpg,angry,1.3472,0.0,1.6497,0.0002,65.8941,0.1248,30.9841,sad,54.9197,0.0226,19.549,0.0014,14.3826,2.7279,8.3968,angry
angry\angry_1689.jpg,angry,0.266,0.0,3.5912,0.0,70.2645,0.0,25.8782,sad,0.0,0.0,0.0,0.0,0.0001,0.0,99.9999,neutral
angry\angry_1692.jpg,angry,69.8314,0.0004,16.3111,0.0157,12.4144,0.0074,1.4195,angry,47.4892,0.0,0.4288,0.0003,28.4255,0.0023,23.654,angry
angry\angry_1772.jpg,angry,67.4034,0.0,0.3274,0.0868,19.5063,0.0029,12.6732,angry,61.5814,0.0,0.0277,0.0038,12.1233,0.0008,26.2629,angry
angry\angry_2030.jpg,angry,22.1259,2.6903,12.2188,0.0101,54.7069,1.009,7.2388,sad,5.1462,5.0839,9.2537,0.0093,4.0263,75.7176,0.763,surprise
angry\angry_2047.jpg,angry,0.4567,0.0,5.0844,0.2234,87.6097,0.0091,6.6167,sad,0.0,0.0,1.9237,0.0,0.0006,0.0,98.0756,neutral
angry\angry_2203.jpg,angry,0.437,0.0,27.2153,0.0049,65.5531,0.0005,6.7892,sad,0.4902,0.0,1.9526,1.6943,0.8106,93.2591,1.7932,surprise
angry\angry_2206.jpg,angry,34.6137,0.009,10.3254,0.2639,9.3058,1.4362,44.0458,neutral,21.54,0.0,0.3719,0.002,42.7469,0.0002,35.3391,sad
angry\angry_2228.jpg,angry,21.4949,0.6801,1.3435,0.023,72.5233,0.0013,3.9339,sad,96.2193,0.1484,0.099,0.0007,1.8335,0.0017,1.6974,angry
angry\angry_2295.jpg,angry,82.0317,0.1132,16.9771,0.005,0.8722,0.0001,0.0007,angry,53.2466,4.8211,23.433,0.0004,10.8792,0.0748,7.5449,angry
angry\angry_2333.jpg,angry,8.8996,0.0089,54.3203,0.0166,35.2661,0.0928,1.3958,fear,5.443,0.0,12.2297,0.0,80.1545,0.0,2.1729,sad
angry\angry_2340.jpg,angry,99.0512,0.0,0.1505,0.0021,0.3878,0.0001,0.4083,angry,65.1572,0.0002,9.3659,0.0016,22.4885,0.023,2.9636,angry
angry\angry_2496.jpg,angry,8.7369,0.0,6.9722,1.7107,81.091,0.0294,1.4597,sad,0.0007,0.0,0.0001,0.0218,0.3907,0.0,99.5867,neutral
angry\angry_2782.jpg,angry,0.1026,0.0,54.0422,0.0034,11.7168,0.0006,34.1343,fear,0.574,0.0001,1.5302,1.5314,2.8967,0.0983,93.3693,neutral
angry\angry_2843.jpg,angry,2.6655,0.0002,4.8256,2.9339,0.0022,88.9575,0.6152,surprise,0.9043,0.0069,83.45,0.3852,10.6233,2.5615,2.0688,fear
angry\angry_2861.jpg,angry,8.7782,0.0498,5.9754,0.0056,40.9935,0.0588,44.1387,neutral,1.2597,0.0132,1.316,0.0004,89.2806,0.0,8.13,sad
angry\angry_2866.jpg,angry,11.8767,0.0,54.189,0.02,33.855,0.0248,0.0345,fear,20.8708,0.0,0.1133,0.0019,57.0382,0.0,21.9758,sad
angry\angry_3134.jpg,angry,27.4977,0.0,1.3678,0.0154,20.96,0.0019,50.1572,neutral,84.091,0.0,1.4681,0.0153,13.9142,0.0169,0.4944,angry
angry\angry_3147.jpg,angry,33.4417,0.239,17.9198,1.267,23.3162,1.9835,21.8329,angry,43.37,0.0009,0.9668,1.3973,4.6335,0.3671,49.2644,neutral
angry\angry_3155.jpg,angry,38.8259,0.0207,14.0975,0.0713,32.7769,1.0933,13.1145,angry,17.5963,0.0006,9.2721,0.0111,68.5244,0.0368,4.5586,sad
angry\angry_3227.jpg,angry,33.153,1.2119,49.5476,0.0035,15.9922,0.02,0.0719,fear,83.4493,0.0049,4.8961,0.0258,4.9073,0.0684,6.6481,angry
angry\angry_3232.jpg,angry,96.4729,0.0115,1.0574,0.033,2.0867,0.0009,0.3375,angry,60.9475,0.0272,7.2021,0.2732,22.5611,0.4285,8.5603,angry
