file,gt,angry_before,disgust_before,fear_before,happy_before,sadness_before,surprise_before,neutral_before,dominant_emotion_before,angry_after,disgust_after,fear_after,happy_after,sadness_after,surprise_after,neutral_after,dominant_emotion_after
angry\angry_0026.jpg,angry,0.5805,0.0,1.7211,0.0004,97.5725,0.0,0.1256,sad,73.7943,0.0,0.0269,0.0269,3.3187,0.0001,22.8331,angry
angry\angry_0055.jpg,angry,48.519,0.0,51.3433,0.082,0.0549,0.0,0.0008,fear,99.4755,0.0,0.0027,0.5163,0.0005,0.0039,0.0011,angry
angry\angry_0058.jpg,angry,0.0463,0.0,1.1123,0.14,0.1629,0.1235,98.415,neutral,40.1568,0.0,0.0335,38.049,0.1628,0.0015,21.5963,angry
angry\angry_0072.jpg,angry,0.0009,0.0,0.0026,0.0005,0.16,0.0,99.8359,neutral,98.4256,0.0,0.3061,0.0046,1.2259,0.0026,0.0351,angry
angry\angry_0082.jpg,angry,99.9925,0.0,0.0,0.0,0.0075,0.0,0.0,angry,1.4112,0.0,0.0179,2.6051,0.0766,0.0284,95.8609,neutral
angry\angry_0090.jpg,angry,99.2153,0.0,0.0072,0.0,0.0052,0.772,0.0004,angry,12.5446,0.0,0.0,0.0212,0.0019,0.0,87.4324,neutral
angry\angry_0107.jpg,angry,50.7646,0.0884,0.7562,0.0396,0.0567,48.2572,0.0373,angry,0.0881,0.0,67.7033,0.0379,0.0211,32.1495,0.0,fear
angry\angry_0120.jpg,angry,75.8912,0.2419,5.3181,15.7047,0.4765,1.229,1.1386,angry,5.3323,0.0702,0.5801,1.6284,8.0251,0.411,83.9529,neutral
angry\angry_0137.jpg,angry,41.3928,0.0,52.9253,0.0,5.6811,0.0,0.0007,fear,2.373,0.041,95.2919,0.0161,0.5496,1.2663,0.4621,fear
angry\angry_0156.jpg,angry,0.0456,0.0002,95.9396,0.0092,0.0105,3.9948,0.0001,fear,37.0422,57.4821,3.185,0.0092,0.1903,2.0495,0.0417,disgust
