file,gt,angry_before,disgust_before,fear_before,happy_before,sadness_before,surprise_before,neutral_before,dominant_emotion_before,angry_after,disgust_after,fear_after,happy_after,sadness_after,surprise_after,neutral_after,dominant_emotion_after
angry\angry_0026.jpg,angry,0.5805,0.0,1.7211,0.0004,97.5725,0.0,0.1256,sad,96.4508,0.0,0.0011,0.0021,0.1027,0.0,3.4433,angry
angry\angry_0055.jpg,angry,48.519,0.0,51.3433,0.082,0.0549,0.0,0.0008,fear,90.983,0.0,8.0658,0.9425,0.0072,0.0008,0.0006,angry
angry\angry_0058.jpg,angry,0.0463,0.0,1.1123,0.14,0.1629,0.1235,98.415,neutral,96.769,0.0,0.0197,1.2992,0.2329,0.0039,1.6752,angry
angry\angry_0072.jpg,angry,0.0009,0.0,0.0026,0.0005,0.16,0.0,99.8359,neutral,99.9928,0.0001,0.0063,0.0,0.0007,0.0,0.0,angry
angry\angry_0082.jpg,angry,99.9925,0.0,0.0,0.0,0.0075,0.0,0.0,angry,1.397,0.0,0.0041,21.9435,0.1423,0.0114,76.5017,neutral
angry\angry_0090.jpg,angry,99.2153,0.0,0.0072,0.0,0.0052,0.772,0.0004,angry,2.3216,0.0,0.0,0.0181,0.0002,0.0,97.6601,neutral
angry\angry_0093.jpg,angry,94.9609,0.0017,2.7419,0.0001,1.2398,0.0022,1.0533,angry,12.0347,0.0,2.78,0.0,84.1097,0.0001,1.0755,sad
angry\angry_0107.jpg,angry,50.7646,0.0884,0.7562,0.0396,0.0567,48.2572,0.0373,angry,0.0832,0.0,86.3892,0.2678,0.0483,13.2111,0.0004,fear
angry\angry_0120.jpg,angry,75.8912,0.2419,5.3181,15.7047,0.4765,1.229,1.1386,angry,11.0309,0.0125,1.0361,0.1812,12.4978,0.2455,74.996,neutral
angry\angry_0156.jpg,angry,0.0456,0.0002,95.9396,0.0092,0.0105,3.9948,0.0001,fear,56.323,26.269,10.0017,0.0345,0.726,6.5223,0.1234,angry
angry\angry_0201.jpg,angry,19.6986,0.0,17.6699,0.0,60.1632,0.0,2.4682,sad,29.1889,0.0,0.2924,0.0004,56.686,0.0,13.8322,sad
