file,gt,angry_before,disgust_before,fear_before,happy_before,sadness_before,surprise_before,neutral_before,dominant_emotion_before,angry_after,disgust_after,fear_after,happy_after,sadness_after,surprise_after,neutral_after,dominant_emotion_after
angry\angry_0005.jpg,angry,1.3315,0.0651,0.6153,0.3123,55.3316,0.0566,42.2877,sad,1.1849,0.0198,47.76,14.6907,5.8906,0.1279,30.3261,fear
angry\angry_0181.jpg,angry,1.5187,0.0004,96.3588,0.0002,0.3937,1.7141,0.0142,fear,9.5434,0,77.1327,0.0009,13.3042,0.0012,0.0177,fear
angry\angry_0343.jpg,angry,0.0472,0.0001,98.1762,0.0003,0.005,1.771,0.0001,fear,45.6431,0,3.9566,0.2117,0.0618,50.1182,0.0085,surprise
angry\angry_0364.jpg,angry,0.9744,0,8.9164,0.0204,9.2072,0.1998,80.6817,neutral,88.5669,0,0.0093,0.0025,0.3732,10.9941,0.0539,angry
angry\angry_0582.jpg,angry,74.0431,0.1365,15.4092,0.0193,8.46,0.0999,1.832,angry,90.1122,0.0037,1.5836,0.1906,4.4061,0.0986,3.6052,angry
angry\angry_0591.jpg,angry,0.0386,0,8.4368,0.0754,0.0775,91.3717,0,surprise,96.8528,0.0514,1.0293,0.0051,0.0622,1.9925,0.0067,angry
angry\angry_0617.jpg,angry,0.0322,0.0001,37.7392,0,14.003,48.2129,0.0126,surprise,4.8585,0,1.6339,16.7593,3.3438,0.0084,73.3961,neutral
angry\angry_0651.jpg,angry,0.058,0,1.5572,0.0001,0.2078,98.1688,0.0081,surprise,42.1086,0.0024,16.3183,0.0232,31.4706,0.1352,9.9418,angry
angry\angry_0661.jpg,angry,97.4312,0,1.8971,0,0.596,0,0.0756,angry,98.4755,0.0001,0.5654,0,0.9586,0.0001,0.0004,angry
angry\angry_0699.jpg,angry,38.0964,0.0001,0.1251,0.0003,14.2156,0,47.5625,neutral,10.244,0,0.0043,0,6.0248,0,83.7269,neutral
angry\angry_0763.jpg,angry,0.0007,0,0.7814,42.5842,4.6399,0,51.9937,neutral,6.7985,0,3.1029,0.1769,39.4335,0.006,50.4822,neutral
angry\angry_0781.jpg,angry,10.7211,0.0018,2.4892,0.0501,45.7705,0.0008,40.9666,sad,2.0606,0,0.0022,0.001,1.5721,0,96.3641,neutral
angry\angry_0790.jpg,angry,47.5631,0.0006,22.1447,5.587,23.3188,0.0006,1.3852,angry,0.0027,0,0.0007,0,0,99.9965,0,surprise
angry\angry_0976.jpg,angry,63.3036,0.0005,0.1286,0.0002,29.0631,0,7.5041,angry,20.9684,0.0001,4.3264,0.0002,52.89,0.0005,21.8144,sad
angry\angry_1050.jpg,angry,2.2941,0.0006,49.4077,0.2739,45.9454,0.0139,2.0643,fear,17.1973,0,0.0656,0.0006,10.5544,0.0001,72.182,neutral
angry\angry_1164.jpg,angry,0.0001,0,0.0011,0.0022,0.0243,0,99.9723,neutral,0,0,0,0.5315,0.0042,0,99.4643,neutral
angry\angry_1293.jpg,angry,26.5122,0,0.1327,3.2232,4.7568,0,65.375,neutral,99.9997,0,0,0,0.0003,0,0,angry
angry\angry_1347.jpg,angry,1.3472,0,1.6497,0.0002,65.8941,0.1248,30.9841,sad,50.0924,0.0001,0.988,0.021,0.6311,1.0842,47.1831,angry
angry\angry_1689.jpg,angry,0.266,0,3.5912,0,70.2645,0,25.8782,sad,0.0156,0,0,0.0003,0.0997,0,99.8843,neutral
angry\angry_1692.jpg,angry,69.8314,0.0004,16.3111,0.0157,12.4144,0.0074,1.4195,angry,27.4321,0,0.0635,0.0027,15.0853,0,57.4164,neutral
angry\angry_1772.jpg,angry,67.4034,0,0.3274,0.0868,19.5063,0.0029,12.6732,angry,94.933,0,0.0222,0.0902,2.2085,0.0034,2.7428,angry
angry\angry_2030.jpg,angry,22.1259,2.6903,12.2188,0.0101,54.7069,1.009,7.2388,sad,80.241,0.0002,1.6201,0.0125,2.7771,12.8629,2.4862,angry
angry\angry_2047.jpg,angry,0.4567,0,5.0844,0.2234,87.6097,0.0091,6.6167,sad,6.1233,0.0083,89.3081,0.0521,0.3754,1.0461,3.0867,fear
angry\angry_2203.jpg,angry,0.437,0,27.2153,0.0049,65.5531,0.0005,6.7892,sad,0,0,0.0592,0.0014,1.34,0,98.5994,neutral
angry\angry_2206.jpg,angry,34.6137,0.009,10.3254,0.2639,9.3058,1.4362,44.0458,neutral,30.7656,0,0.1882,0.0261,26.7396,0.0003,42.2802,neutral
angry\angry_2228.jpg,angry,21.4949,0.6801,1.3435,0.023,72.5233,0.0013,3.9339,sad,3.6351,0,0.0061,0.0001,0.3148,0.0001,96.0438,neutral
angry\angry_2295.jpg,angry,82.0317,0.1132,16.9771,0.005,0.8722,0.0001,0.0007,angry,50.6658,2.6553,21.841,0.0008,22.397,0.0703,2.3699,angry
angry\angry_2333.jpg,angry,8.8996,0.0089,54.3203,0.0166,35.2661,0.0928,1.3958,fear,2.1479,0,12.9148,0,84.1865,0.0088,0.742,sad
angry\angry_2340.jpg,angry,99.0512,0,0.1505,0.0021,0.3878,0.0001,0.4083,angry,98.9321,0,0.1389,0.0001,0.1089,0.0114,0.8087,angry
angry\angry_2463.jpg,angry,1.7482,0,34.8617,0.0921,13.2813,10.1197,39.897,neutral,53.895,0.1218,14.1623,0.001,21.5548,0.1012,10.1638,angry
angry\angry_2496.jpg,angry,8.7369,0,6.9722,1.7107,81.091,0.0294,1.4597,sad,0.0032,0,0.0006,0.0002,1.269,0,98.727,neutral
angry\angry_2843.jpg,angry,2.6655,0.0002,4.8256,2.9339,0.0022,88.9575,0.6152,surprise,0.2439,0,5.1025,0.2592,0.3806,32.3065,61.7073,neutral
angry\angry_2861.jpg,angry,8.7782,0.0498,5.9754,0.0056,40.9935,0.0588,44.1387,neutral,1.7907,0.2399,1.7343,0.0009,94.4869,0.0004,1.7471,sad
angry\angry_2866.jpg,angry,11.8767,0,54.189,0.02,33.855,0.0248,0.0345,fear,8.0288,0,0.0899,0.2694,10.6677,0.0001,80.944,neutral
angry\angry_2916.jpg,angry,18.4519,0.0005,1.1761,0.005,19.5744,0.0025,60.7896,neutral,0.1682,0,0,0,0.0002,0,99.8316,neutral
angry\angry_3147.jpg,angry,33.4417,0.239,17.9198,1.267,23.3162,1.9835,21.8329,angry,22.914,0.0001,0.4605,0.4057,9.0162,0.0175,67.1859,neutral
angry\angry_3155.jpg,angry,38.8259,0.0207,14.0975,0.0713,32.7769,1.0933,13.1145,angry,34.2725,0.0287,7.1203,0.2558,30.0591,0.0855,28.178,angry
angry\angry_3227.jpg,angry,33.153,1.2119,49.5476,0.0035,15.9922,0.02,0.0719,fear,71.5558,0.0001,3.1942,0.0019,20.6707,0.0009,4.5765,angry
angry\angry_3232.jpg,angry,96.4729,0.0115,1.0574,0.033,2.0867,0.0009,0.3375,angry,15.4108,0.074,9.9746,0.7527,38.3868,0.1723,35.2289,sad
angry\angry_3315.jpg,angry,44.7535,0.1425,10.7651,0,41.4161,0.9113,2.0115,angry,20.9682,0,10.4536,0.0018,59.6605,0.0212,8.8947,sad
angry\angry_3331.jpg,angry,0.9407,41.0492,0.4903,0.0002,0.6208,56.8961,0.0028,surprise,21.2404,0.0188,2.8807,0.2817,24.8929,0.0775,50.6081,neutral
angry\angry_3351.jpg,angry,8.6982,0,0.1429,0.0026,18.1044,0.0005,73.0513,neutral,0.0103,0,99.9897,0,0,0,0,fear
angry\angry_3377.jpg,angry,43.4403,0.1338,21.073,1.6239,0.8518,32.6473,0.2299,angry,7.4876,0.0444,3.5082,8.2946,12.9691,1.0911,66.6051,neutral
angry\angry_6897.jpg,angry,97.2372,0.4134,1.6159,0.0037,0.6346,0.0831,0.0122,angry,0,0,1.2901,0.0258,69.5787,0.0002,29.1051,sad
angry\angry_7010.jpg,angry,63.8867,0.1363,6.8768,0.1549,22.794,0.1399,6.0113,angry,96.0458,0,0.0047,3.3724,0.0408,0.0007,0.5356,angry
angry\angry_7014.jpg,angry,99.994,0,0.0005,0.0055,0,0,0,angry,100,0,0,0,0,0,0,angry
angry\angry_7048.jpg,angry,99.7159,0,0.0086,0.0018,0.2716,0,0.0022,angry,9.9198,0,76.1218,13.0731,0.5765,0.3026,0.0061,fear
angry\angry_7095.jpg,angry,7.4469,0,0.0006,0,3.6151,0,88.9373,neutral,17.557,0,0,0.0004,1.1056,0,81.337,neutral
angry\angry_7175.jpg,angry,0,0,0,100,0,0,0,happy,0.0006,0,0.0002,99.9704,0.0289,0,0,happy
angry\angry_7274.jpg,angry,0.0007,0,0.0513,99.7117,0.236,0,0.0003,happy,81.0477,0,0,0,0.04,0,18.9122,angry
angry\angry_7397.jpg,angry,0,0,0.0029,0.0007,0.023,0.0076,99.9658,neutral,37.2802,0,0.0285,0.0089,0.1321,0.4253,62.125,neutral
angry\angry_7401.jpg,angry,57.0479,0.001,0.2892,7.1071,12.3711,0.029,23.1548,angry,13.6482,0,0.0001,79.7777,2.1709,0.0005,4.4026,happy
angry\angry_7412.jpg,angry,99.6541,0,0.0161,0.0014,0.1797,0,0.1487,angry,0.0059,0,0,0.1987,0.0433,0,99.752,neutral
angry\angry_7444.jpg,angry,20.1986,0.0277,10.8419,1.0676,3.5972,0.0712,64.1959,neutral,0.0001,0,1.6205,69.2085,13.2594,0,15.9115,happy
angry\angry_7445.jpg,angry,92.4957,0,0.2511,0.2162,5.9219,0.0246,1.0906,angry,0.0106,0,91.1857,0.2572,7.9983,0.311,0.2372,fear
angry\angry_7446.jpg,angry,0.461,0,0.0652,34.7038,0.2754,0.0066,64.488,neutral,0.6433,0,0.3212,23.3634,0.9936,0.0053,74.6732,neutral
angry\angry_7468.jpg,angry,9.9793,0.0001,0.3795,0.0519,80.3693,0.0066,9.2133,sad,9.5145,0,0.042,0.1961,8.1779,0.0006,82.0689,neutral
angry\angry_7497.jpg,angry,6.5343,0,67.7368,0.0003,25.4878,0,0.2408,fear,99.3654,0,0.0002,0.0002,0.1017,0,0.5326,angry
angry\angry_7598.jpg,angry,0,0,0.0285,0.0008,0.2327,0,99.7381,neutral,57.8018,0.0825,0.6498,0.2098,40.1754,0,1.0807,angry
