file,gt,angry_before,disgust_before,fear_before,happy_before,sadness_before,surprise_before,neutral_before,dominant_emotion_before,angry_after,disgust_after,fear_after,happy_after,sadness_after,surprise_after,neutral_after,dominant_emotion_after
angry\angry_0151.jpg,angry,74.7064,0.0031,11.5797,4.5315,2.2717,0.0256,6.882,angry,84.2258,0.0122,4.5098,0.0178,6.4387,0.0956,4.7001,angry
angry\angry_0301.jpg,angry,57.8987,0.0168,41.3989,0.0001,0.6703,0.0,0.0153,angry,75.703,0.0,2.4743,0.0002,20.4775,0.0048,1.3402,angry
angry\angry_0350.jpg,angry,0.0187,0.0001,5.3907,0.0194,0.0001,94.571,0.0,surprise,94.8716,0.0154,0.0775,0.0207,0.0013,5.0135,0.0,angry
angry\angry_0736.jpg,angry,26.2983,0.0098,65.535,0.1294,6.7307,1.0431,0.2537,fear,51.3026,0.1086,8.6822,0.0087,38.3498,0.4684,1.0797,angry
angry\angry_0766.jpg,angry,45.1984,0.0197,34.6899,0.0306,19.6343,0.0002,0.4269,angry,46.9085,0.1787,9.6282,0.1497,35.6529,0.0692,7.4128,angry
angry\angry_1168.jpg,angry,39.0656,2.9225,7.7726,0.0653,46.3856,0.1123,3.6761,sad,43.7709,0.0006,2.5343,0.0002,26.9315,0.0001,26.7624,angry
angry\angry_1250.jpg,angry,8.6491,0.1469,63.4748,0.0082,23.655,0.0117,4.0543,fear,3.4783,0.0,25.5282,35.2157,5.598,0.0465,30.1332,happy
angry\angry_2459.jpg,angry,0.0957,0.0,98.968,0.0484,0.1344,0.7462,0.0071,fear,1.0968,0.0001,4.5117,0.0065,76.8305,0.0,17.5543,sad
angry\angry_2782.jpg,angry,0.1026,0.0,54.0422,0.0034,11.7168,0.0006,34.1343,fear,7.9393,0.0001,10.5528,1.7091,11.1144,0.1844,68.5,neutral
angry\angry_3134.jpg,angry,27.4977,0.0,1.3678,0.0154,20.96,0.0019,50.1572,neutral,0.0,0.0,0.3512,0.1775,98.6469,0.0,0.8243,sad
angry\angry_3245.jpg,angry,60.3885,0.001,4.3068,0.9347,33.3813,0.0004,0.9872,angry,25.3336,0.0,0.4375,1.2684,29.8356,0.1585,42.9663,neutral
angry\angry_6771.jpg,angry,0.2271,0.0013,0.3506,0.0058,0.0001,99.4149,0.0001,surprise,90.1386,0.0033,0.1088,0.0249,0.0003,9.7241,0.0,angry
angry\angry_6983.jpg,angry,91.3465,0.0,0.1018,8.4623,0.0684,0.0,0.0211,angry,75.8554,0.0,1.9955,22.0482,0.0946,0.0051,0.001,angry
angry\angry_7201.jpg,angry,98.492,0.0002,0.0006,0.0,1.507,0.0,0.0002,angry,59.4934,0.0,0.0002,40.3715,0.0024,0.1063,0.0263,angry
angry\angry_7278.jpg,angry,0.3837,0.0,0.0,99.6157,0.0,0.0,0.0006,happy,0.0,0.0,0.0,99.9998,0.0,0.0,0.0002,happy
angry\angry_7413.jpg,angry,0.164,0.0,0.0009,0.0,43.2757,0.0,56.5594,neutral,0.0919,0.0,15.0828,0.0,12.0603,0.0,72.765,neutral
angry\angry_7637.jpg,angry,0.0081,0.0,0.0,99.9919,0.0,0.0,0.0,happy,0.1007,0.0,0.0035,99.7663,0.0044,0.1241,0.0009,happy
disgust\disgust_0356.jpg,disgust,0.0132,0.0151,96.9738,0.0223,2.5377,0.0,0.4379,fear,0.1966,0.0,23.5643,8.6255,9.948,0.0067,57.6589,neutral
disgust\disgust_0811.jpg,disgust,4.1551,0.033,24.1749,1.6245,68.2615,0.0032,1.7479,sad,0.1104,0.0767,5.5778,0.0082,94.0972,0.0002,0.1295,sad
disgust\disgust_0965.jpg,disgust,10.1602,0.0021,6.0611,49.8089,29.8317,0.1762,3.9598,happy,0.0,0.0,9.0339,0.173,0.0081,7.743,83.042,neutral
disgust\disgust_1071.jpg,disgust,51.0968,0.0079,30.3987,0.0484,1.1009,15.7798,1.5675,angry,9.1991,0.0,90.2407,0.0116,0.0053,0.5432,0.0,fear
disgust\disgust_1116.jpg,disgust,42.0364,12.3557,17.9094,0.0363,12.6334,2.5295,12.4994,angry,6.2022,0.0,0.2438,0.005,24.2846,0.0092,69.255,neutral
disgust\disgust_1419.jpg,disgust,1.1326,0.0012,36.6527,0.6192,53.85,0.0375,7.7068,sad,2.6733,0.0027,70.4496,0.0402,23.7651,0.269,2.8002,fear
disgust\disgust_1483.jpg,disgust,0.0973,0.0,0.1098,98.5854,0.2757,0.005,0.9267,happy,21.039,5.3297,11.3606,0.0368,59.3733,0.0933,2.7673,sad
disgust\disgust_1503.jpg,disgust,48.3339,0.0005,34.092,1.7847,7.4919,0.0052,8.2918,angry,8.433,0.0,2.2784,0.0191,27.7308,0.0008,61.5378,neutral
disgust\disgust_2270.jpg,disgust,76.4052,0.0211,3.6599,17.7978,2.041,0.0275,0.0476,angry,56.272,0.0,0.1272,1.3582,4.67,0.0013,37.5714,angry
disgust\disgust_2502.jpg,disgust,40.9586,0.0618,6.2661,0.0814,31.8777,0.0352,20.7193,angry,2.2722,6.0947,44.0506,0.0109,45.7221,0.5392,1.3103,sad
disgust\disgust_2741.jpg,disgust,26.1972,0.0041,60.1896,0.2318,13.239,0.0019,0.1364,fear,1.6062,0.5826,36.3059,0.1976,19.1845,0.0036,42.1196,neutral
disgust\disgust_2888.jpg,disgust,0.0992,0.0,20.1701,0.0045,9.3726,67.2664,3.087,surprise,43.2555,0.0018,4.3979,0.1217,25.1979,0.9223,26.1029,angry
disgust\disgust_2903.jpg,disgust,33.7797,0.0056,8.1173,2.5572,17.6825,0.1611,37.6966,neutral,0.303,0.0,0.0281,0.0147,1.0283,0.0067,98.6192,neutral
disgust\disgust_3007.jpg,disgust,3.3006,0.0,0.3316,0.0462,2.2134,0.0184,94.0898,neutral,2.665,33.5798,0.0815,0.0041,29.3247,0.0002,34.3448,neutral
disgust\disgust_3329.jpg,disgust,0.003,0.0,0.0056,86.2007,0.0193,0.0343,13.7371,happy,39.8355,0.0,9.873,0.0392,1.072,0.0,49.1803,neutral
disgust\disgust_3356.jpg,disgust,68.5399,6.6413,4.0008,12.4609,7.8079,0.0261,0.5229,angry,0.0004,0.0,0.0003,98.1361,0.0012,0.0041,1.8579,happy
disgust\disgust_3424.jpg,disgust,0.2622,0.0,0.0031,30.6343,4.6038,0.0055,64.491,neutral,1.271,0.0,0.0054,0.0285,10.1128,0.0,88.5824,neutral
fear\fear_0247.jpg,fear,0.0012,0.0,22.2522,2.4585,0.3512,74.6314,0.3054,surprise,0.0,0.0,0.3409,99.6581,0.0011,0.0,0.0,happy
fear\fear_1014.jpg,fear,0.0,0.0,1.1057,0.0254,0.0,98.8689,0.0,surprise,0.0,0.0,51.6576,48.3269,0.0155,0.0,0.0,fear
fear\fear_1256.jpg,fear,0.0002,0.0,0.0541,0.0072,0.0,99.9385,0.0,surprise,6.3839,0.0016,2.5125,1.7389,76.0005,0.69,12.6726,sad
fear\fear_1371.jpg,fear,0.0063,0.0,0.029,0.7933,99.1713,0.0,0.0,sad,5.0751,0.0055,0.8461,0.1667,91.9835,0.0292,1.8938,sad
fear\fear_1767.jpg,fear,0.0,0.0,0.0013,0.0,0.0003,0.0,99.9984,neutral,1.4904,0.0004,49.6854,0.0225,30.4684,18.2585,0.0744,fear
fear\fear_1845.jpg,fear,9.8469,0.0,34.4029,0.0,23.2752,0.0002,32.4747,fear,10.9354,0.0,2.181,0.0375,39.8178,46.3072,0.721,surprise
